


titanic,James Cameron,-
Her,Spike Jonze,-
Boyz in the Hood,John Singleton,-
Four Weddings and a Funeral,Mike Newell,-
Little Miss Sunshine,J Dayton V Faris,-
Trainspotting,Danny Boyle,-
The Departed,Martin Scorsese,-
Saving Private Ryan,Steven Speliberg,-
No Country for Old Men,The Coen Brothers,-
The Pianist,Roman Polanski,-
Dr Strangelove,Stanley Kibrick,-
Lagaan,Ashutosh Dowalker,-
Baahubali,S S Rajamoil,-
Psycho,Alfred Hitchock,-
Vertigo,Alfred Hitchcock,-
The Truman Show,Peter Wejr,-
Reservoir Dogs,Quentin Tapanting,-
Amadeus,Milos Forman,-
Enter The Dragon,-Robert Clouse,-
The Wizard of OZ,Velmino et al,-
Gangs of New York,Martin Scorsese,-
The Usual Suspects,Bravan Singer,-
Spirited Away,Hayao Miyazaki,-
Good Will Hunting,Gus Van Sant,-
